Date,Date.Regular.Freq,ffr_shock,fw_shock,lsap_shock,lsap_shock2,exchange.rate.open,exchange.rate.close,log.diff.exchange.rate,bmv.ipc.volume,bmv.ipc.open,bmv.ipc.close,log.diff.bmv.ipc,naftrac_open,naftrac_close,log.diff.naftrac,dcetes28,dcetes91,dcetes182,dcetes364
1992-02-06,2003-09-01,0.3064,-0.1059,-0.0086,0.0086,3.066,3.0645,-4.893565059729266e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-04-01,2003-10-01,-0.0885,0.2901,0.1247,-0.1247,3.0615,3.061,-1.633319725968807e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-04-09,2003-11-01,-2.3357,-1.9294,-0.8946,0.8946,3.082,3.0685,-0.004389894050909504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-05-20,2003-12-01,0.318,0.2013,0.3881,-0.3881,3.104,3.1045,1.6106950183814028e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-07-02,2004-01-01,-1.2613,1.7221,0.6392,-0.6392,3.121,3.119,-6.410256629760802e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-08-19,2004-02-01,0.3873,-0.1127,-0.0189,0.0189,3.0855,3.0815,-0.0012972273588238714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-09-04,2004-03-01,0.1877,-0.1289,-0.2503,0.2503,3.069,3.066,-9.77995187976699e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-10-07,2004-04-01,0.3143,0.0939,-0.0287,0.0287,3.112,3.1095,-8.036647543383513e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-11-18,2004-05-01,0.3758,0.1324,0.3447,-0.3447,3.119,3.1125,-0.002086175834840276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-12-23,2004-06-01,0.3326,-0.4192,-0.2965,0.2965,3.122,3.116,-0.0019236940847382478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-02-04,2004-07-01,-0.1136,0.2992,0.1063,-0.1063,3.102,3.1,-6.449532632464283e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-03-24,2004-08-01,0.2365,0.2362,0.206,-0.206,3.115,3.11,-0.001606426048273768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-05-19,2004-09-01,-0.1463,-0.0739,0.1429,-0.1429,3.117,3.113,-0.001284109325728977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-07-08,2004-10-01,0.116,-0.0208,-0.0624,0.0624,3.125,3.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-08-18,2004-11-01,0.6136,-0.0165,0.0252,-0.0252,3.11,3.111,3.2149172435724793e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-09-22,2004-12-01,0.3298,-0.1272,-0.1854,0.1854,3.124,3.115,-0.0028850797380230997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-11-17,2005-01-01,-0.0399,0.1139,0.1377,-0.1377,3.17,3.14,-0.00950878796902721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-12-22,2005-02-01,0.2094,-0.3285,-0.3,0.3,3.115,3.112,-9.635459232713028e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-02-04,2005-03-01,0.9019,2.053,0.0382,-0.0382,3.106,3.106,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-03-22,2005-04-01,-0.3825,-0.7124,0.5607,-0.5607,3.325,3.34,0.00450113288079157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-04-18,2005-05-01,1.1904,0.802,-0.3535,0.3535,3.3682,3.3682,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-05-17,2005-06-01,0.7621,-2.1364,0.0947,-0.0947,3.335,3.33,-0.0015003753752345084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-07-06,2005-07-01,0.0677,0.3893,0.0958,-0.0958,3.3998,3.3998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-08-16,2005-08-01,1.1206,-0.7659,0.3041,-0.3041,3.407,3.407,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-09-27,2005-09-01,-0.6467,0.7788,-0.011,0.011,3.385,3.39,0.0014760150281207807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-11-15,2005-10-01,1.1161,-0.3582,0.0327,-0.0327,3.4525,3.4526,2.896409900143837e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-12-20,2005-11-01,-1.9854,2.1238,1.3529,-1.3529,3.924,3.99,0.01667968919865559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-01,2005-12-01,0.8013,0.6796,-0.0802,0.0802,5.65,5.4,-0.0452565915881209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-03-28,2006-01-01,0.4821,0.2032,0.0546,-0.0546,6.76,6.81,0.007369230106548219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-23,2006-02-01,0.1395,0.0184,-0.0619,0.0619,5.94,6.01,0.011715615172562588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-07-06,2006-03-01,-1.1568,-3.4116,-0.4801,0.4801,6.27,6.215,-0.008810629682154847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-08-22,2006-04-01,0.4356,0.769,0.1613,-0.1613,6.22,6.276,0.008962928119698121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-09-26,2006-05-01,0.5176,0.8589,0.1424,-0.1424,6.4,6.399,-1.562622083031151e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-11-15,2006-06-01,0.3602,0.377,-0.0382,0.0382,8.05,7.94,-0.013758816171427934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-12-19,2006-07-01,-0.916,0.4445,0.3207,-0.3207,7.74,7.655,-0.01104265849198871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-01-31,2006-08-01,-0.1428,-0.2768,0.053900000000000003,-0.053900000000000003,7.41,7.3775,-0.00439561147303813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-03-26,2006-09-01,0.0693,0.2903,0.2824,-0.2824,7.55,7.5475,-3.311806620764912e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-05-21,2006-10-01,0.1984,0.3575,0.0612,-0.0612,7.405,7.3925,-0.001689474975266947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-07-03,2006-11-01,-0.4959,0.3291,0.4418,-0.4418,7.61,7.6025,-9.860313042122648e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-08-20,2006-12-01,-0.0449,0.4932,0.1195,-0.1195,7.471,7.472,1.338419328771323e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-09-24,2007-01-01,-1.37,-0.1876,0.2241,-0.2241,7.541,7.526,-0.001991107049264418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-11-13,2007-02-01,0.0277,-0.1753,0.2371,-0.2371,7.925,7.915,-0.0012626264303690071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-12-17,2007-03-01,0.2383,-0.0134,-0.1185,0.1185,7.9,7.86,-0.0050761530318608195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-02-05,2007-04-01,-0.1922,0.776,0.1477,-0.1477,7.834,7.8235,-8.939404209384882e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-03-25,2007-05-01,0.6425,1.0719,-0.2055,0.2055,7.894,7.895,1.2667046694980755e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-05-20,2007-06-01,-1.1094,0.2048,0.1457,-0.1457,7.892,7.88,-0.0015216842905809713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-07-02,2007-07-01,0.0126,0.1768,0.3032,-0.3032,7.939,7.967,0.0035206876552527078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-08-19,2007-08-01,0.1893,0.3183,-0.0049,0.0049,7.756,7.7615,7.088771039556185e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-09-30,2007-09-01,0.1425,0.0627,-0.0582,0.0582,7.77,7.769,-1.2870841127243793e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-11-12,2007-10-01,-0.1335,-0.2576,0.1958,-0.1958,8.4,8.405,5.950610113107935e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-12-16,2007-11-01,0.094,-0.0742,0.0088,-0.0088,8.0925,8.102,0.0011732379622362288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-02-04,2007-12-01,0.1006,0.468,0.2097,-0.2097,8.43,8.421,-0.0010681859659089632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31,2008-01-01,-0.0028,0.2544,0.079,-0.079,8.523,8.524,1.1732269621012037e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-05-19,2008-02-01,-0.1035,-1e-4,0.1194,-0.1194,8.58,8.586,6.990563024977803e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-07-01,2008-03-01,0.2903,0.0441,0.0546,-0.0546,8.938,8.946,8.946544993961858e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-08-18,2008-04-01,0.2477,-0.0752,-0.0598,0.0598,9.24,9.213,-0.0029263555267977637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-09-29,2008-05-01,0.9672,-0.3375,-0.1144,0.1144,10.125,10.14,0.0014803851704341398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
